"","Date","Region","monthly_inflation","Unemployment_Rate","wage_growth","Real_GDP_Index","POPTHM","real_wage_growth","pre_2020","pre_mid_2020","post_2020"
"115",2020-11-01,"Middle Atlantic",-0.000847473766401937,0.077,0.034,20662.384,332079,0.0348474737664019,1,1,0
"116",2020-12-01,"Middle Atlantic",0.00240162395524588,0.079,0.036,20779.743,332062,0.0335983760447541,1,1,0
"117",2021-01-01,"Middle Atlantic",0.00404065373023642,0.083,0.036,21103.554,332007,0.0319593462697636,1,1,1
"118",2021-02-01,"Middle Atlantic",0.00414749161979435,0.082,0.037,20796.996,331983,0.0328525083802057,1,1,1
"119",2021-03-01,"Middle Atlantic",0.00493191505412844,0.076,0.039,21279.419,332023,0.0340680849458716,1,1,1
"120",2021-04-01,"Middle Atlantic",0.0080606566760818,0.071,0.04,21392.051,332089,0.0319393433239182,1,1,1
"121",2021-05-01,"Middle Atlantic",0.00699085882374848,0.067,0.037,21372.924,332161,0.0300091411762515,1,1,1
"122",2021-06-01,"Middle Atlantic",0.0109542693918299,0.073,0.036,21406.61,332249,0.0250457306081701,1,1,1
"123",2021-07-01,"Middle Atlantic",0.00141731131471627,0.071,0.034,21534.529,332375,0.0325826886852837,1,1,1
"124",2021-08-01,"Middle Atlantic",0.00129660235397254,0.067,0.038,21554.189,332506,0.0367033976460275,1,1,1
"125",2021-09-01,"Middle Atlantic",0.00373886320320262,0.057,0.038,21630.124,332610,0.0342611367967974,1,1,1
"126",2021-10-01,"Middle Atlantic",0.00530576274882122,0.053,0.039,21910.79,332708,0.0336942372511788,1,1,1
"127",2021-11-01,"Middle Atlantic",0.00422040071213613,0.048,0.035,21889.444,332806,0.0307795992878639,1,1,1
"128",2021-12-01,"Middle Atlantic",0.00128689704823615,0.046,0.036,22085.674,332891,0.0347131029517639,1,1,1
"129",2022-01-01,"Middle Atlantic",0.00726207274655539,0.054,0.035,21919.366,332933,0.0277379272534446,1,1,1
"130",2022-02-01,"Middle Atlantic",0.00688849033202172,0.051,0.041,21878.75,332972,0.0341115096679783,1,1,1
"131",2022-03-01,"Middle Atlantic",0.0123091374741898,0.045,0.042,21918.133,333067,0.0296908625258102,1,1,1
"132",2022-04-01,"Middle Atlantic",0.00843021219973382,0.04,0.044,21942.301,333191,0.0355697878002662,1,1,1
"133",2022-05-01,"Middle Atlantic",0.00768262511393728,0.039,0.046,21936.131,333317,0.0383173748860627,1,1,1
"134",2022-06-01,"Middle Atlantic",0.0130427291523087,0.042,0.05,21883.98,333451,0.0369572708476913,1,1,1
"135",2022-07-01,"Middle Atlantic",-0.00116502542646734,0.043,0.05,21953.155,333599,0.0511650254264673,1,1,1
"136",2022-08-01,"Middle Atlantic",0.00357577666720589,0.043,0.048,22185.761,333762,0.0444242233327941,1,1,1
"137",2022-09-01,"Middle Atlantic",0.000941659526455578,0.034,0.051,22066.351,333925,0.0500583404735444,1,1,1
"138",2022-10-01,"Middle Atlantic",0.00172898938875134,0.036,0.053,22231.955,334071,0.0512710106112487,1,1,1
"139",2022-11-01,"Middle Atlantic",0.00028766752402875,0.036,0.057,22262.038,334206,0.0567123324759713,1,1,1
"140",2022-12-01,"Middle Atlantic",0.00072742036438684,0.036,0.056,22259.166,334326,0.0552725796356132,1,1,1
"141",2023-01-01,"Middle Atlantic",0.00647440665359393,0.043,0.061,22415.615,334433,0.0545255933464061,1,1,1
"142",2023-02-01,"Middle Atlantic",0.00655872621307035,0.044,0.058,22354.843,334544,0.0514412737869296,1,1,1
"143",2023-03-01,"Middle Atlantic",-0.00328719578838461,0.04,0.058,22444.569,334664,0.0612871957883846,1,1,1
"144",2023-04-01,"Middle Atlantic",0.00155694136357923,0.034,0.061,22439.623,334792,0.0594430586364208,1,1,1
"145",2023-05-01,"Middle Atlantic",0.0025992260825234,0.037,0.062,22571.293,334929,0.0594007739174766,1,1,1
"146",2023-06-01,"Middle Atlantic",0.00384288357980026,0.041,0.061,22612.29,335080,0.0571571164201997,1,1,1
"147",2023-07-01,"Middle Atlantic",0.00292302965380371,0.042,0.062,22692.347,335248,0.0590769703461963,1,1,1
"148",2023-08-01,"Middle Atlantic",0.00498447526392043,0.045,0.059,22827.169,335431,0.0540155247360796,1,1,1
"149",2023-09-01,"Middle Atlantic",0.00312250261581688,0.039,0.058,22828.208,335612,0.0548774973841831,1,1,1
"150",2023-10-01,"Middle Atlantic",-0.000739183284602019,0.04,0.058,22801.215,335773,0.058739183284602,1,1,1
"151",2023-11-01,"Middle Atlantic",-0.00147946016142548,0.038,0.057,22925.249,335925,0.0584794601614255,1,1,1
"152",2023-12-01,"Middle Atlantic",2.46942034473117e-05,0.04,0.059,23160.058,336070,0.0589753057965527,1,1,1
"153",2024-01-01,"Middle Atlantic",0.00684835664134196,0.043,0.057,22957.423,336194,0.050151643358658,1,1,1
"154",2024-02-01,"Middle Atlantic",0.0049133018860212,0.044,0.058,23107.433,336306,0.0530866981139788,1,1,1
"155",2024-03-01,"Middle Atlantic",0.00552382811864436,0.041,0.056,23100.549,336423,0.0504761718813556,1,1,1
"156",2024-04-01,"Middle Atlantic",0.00425562899976534,0.036,0.054,23165.934,336550,0.0497443710002347,1,1,1
"157",2024-05-01,"Middle Atlantic",0.00474514005816622,0.039,0.052,23248.626,336687,0.0472548599418338,1,1,1
"158",2024-06-01,"Middle Atlantic",0.00238942878219316,0.042,0.052,23261.861,336839,0.0496105712178068,1,1,1
"159",2024-07-01,"Middle Atlantic",0.00170380917337265,0.047,0.053,23385.227,337005,0.0512961908266273,1,1,1
"160",2024-08-01,"Middle Atlantic",0.00258730146054763,0.048,0.053,23427.13,337185,0.0504126985394524,1,1,1
"161",2018-01-01,"East North Central",0.00694000000000003,0.047,0.029,20001.73,327969,0.02206,0,0,0
"162",2018-02-01,"East North Central",0.000854072735217575,0.047,0.031,20097.48,328085,0.0301459272647824,0,0,0
"163",2018-03-01,"East North Central",0.0012204802540187,0.043,0.03,20032.979,328219,0.0287795197459813,0,0,0
"164",2018-04-01,"East North Central",0.00521292726678093,0.038,0.031,20090.314,328364,0.0257870727332191,0,0,0
"165",2018-05-01,"East North Central",0.00456476944463609,0.037,0.029,20178.485,328521,0.0244352305553639,0,0,0
"166",2018-06-01,"East North Central",0.000902916813881352,0.044,0.03,20182.623,328692,0.0290970831861186,0,0,0
"167",2018-07-01,"East North Central",-0.00132373705679313,0.043,0.032,20258.177,328863,0.0333237370567931,0,0,0
"168",2018-08-01,"East North Central",-0.000481104380013614,0.039,0.032,20287.991,329040,0.0324811043800136,0,0,0
"169",2018-09-01,"East North Central",0.00173870333988219,0.036,0.032,20282.317,329216,0.0302612966601178,0,0,0
"170",2018-10-01,"East North Central",4.90306637770816e-05,0.037,0.032,20285.465,329379,0.0319509693362229,0,0,0
"171",2018-11-01,"East North Central",-0.00404973426683137,0.036,0.032,20302.399,329527,0.0360497342668314,0,0,0
"172",2018-12-01,"East North Central",-0.00337701464029383,0.039,0.032,20326.767,329659,0.0353770146402938,0,0,0
"173",2019-01-01,"East North Central",0.00228202240531083,0.048,0.032,20439.896,329766,0.0297179775946892,0,0,0
"174",2019-02-01,"East North Central",0.00744157623426683,0.044,0.031,20397.279,329862,0.0235584237657332,0,0,0
"175",2019-03-01,"East North Central",0.0043439126521348,0.043,0.031,20457.77,329977,0.0266560873478652,0,0,0
"176",2019-04-01,"East North Central",0.00264962593516201,0.035,0.031,20529.751,330103,0.028350374064838,0,0,0
"177",2019-05-01,"East North Central",0.00308953831804755,0.035,0.03,20572.892,330240,0.0269104616819524,0,0,0
"178",2019-06-01,"East North Central",-0.000658621157236095,0.041,0.03,20704.215,330393,0.0306586211572361,0,0,0
"179",2019-07-01,"East North Central",0.00246176510496428,0.042,0.03,20808.131,330553,0.0275382348950357,0,0,0
"180",2019-08-01,"East North Central",0.000860468713744282,0.038,0.03,20841.719,330729,0.0291395312862557,0,0,0
"181",2019-09-01,"East North Central",0.000415374658281819,0.034,0.03,20880.121,330904,0.0295846253417182,0,0,0
